color_name,red,green,blue
violet,123,61,155
violet_bleu,89,65,168
violet_bleute,120,93,205
violet_bordeaux,103,28,80
violet_clair,177,139,206
violet_flashy,164,67,198
violet_fluo,157,65,212
violet_fonce,72,28,83
violet_froid,73,35,136
violet_fuchsia,166,41,191
violet_gris,123,108,136
violet_lavande,189,150,215
violet_marron,98,60,81
violet_mauve,108,86,140
violet_noir,62,24,54
violet_pale,161,132,193
violet_pastel,177,152,207
violet_pourpre,66,9,60
violet_prune,74,19,73
violet_rose,159,79,170
violet_sombre,77,19,77
violet_terne,125,97,114
violet_tres_clair,208,192,223
violet_tres_fonce,58,21,62
violet_vieilli,129,99,132
violet_vif,153,42,195
violette,150,99,234
violine,122,85,140
