color_id,R,G,B,CAM16_J_UCS,CAM16_a_UCS,CAM16_b_UCS
842,69,167,109,63.28717193,-28.03519527,12.13002917
843,50,168,123,63.22288885,-29.28801727,7.680383049
844,36,168,131,63.19940733,-29.76338351,4.798391365
845,15,168,139,63.18046139,-30.08527674,2.029521477
846,0,168,147,63.16596522,-30.25224964,-0.941091166
847,0,168,158,63.17817213,-29.92334551,-4.962782385
848,0,167,167,63.21101794,-29.21386822,-8.345946749
849,0,166,177,63.27820086,-27.86661962,-12.12567747
850,0,165,185,63.36303846,-26.17610708,-15.46838331
851,0,163,193,63.5434145,-23.06808896,-18.77741936
852,47,160,198,63.75392698,-19.4954295,-21.0087718
853,71,157,201,63.96808064,-15.653105,-22.62984787
854,94,154,203,64.24334883,-10.31111276,-23.99042152
855,112,150,204,64.49592797,-5.004442704,-24.56312196
856,133,146,203,64.84184699,2.613214519,-23.7144411
857,148,142,200,65.11313661,8.561383943,-21.83798103
858,160,138,197,65.34982757,13.42983138,-19.36876953
859,170,135,191,65.5261396,16.84594717,-16.46843965
860,181,132,183,65.73893595,20.54458529,-12.32229792
861,189,130,175,65.86995557,22.57835406,-8.955221664
862,195,128,166,65.97762604,24.05067708,-5.304402678
863,202,126,154,66.07282489,25.11855395,-1.192455261
864,205,125,145,66.09578395,25.14112619,1.720644631
865,255,185,122,84.54759321,13.71067288,21.36187994
866,255,188,113,84.36079201,10.06773003,23.38564468
867,248,193,104,84.13354475,5.672773504,25.45127097
868,239,197,97,83.9164179,1.520752848,26.94205684
869,228,201,89,83.66013352,-3.337786929,28.34836053
870,219,204,86,83.48254573,-6.642417896,28.87857936
871,212,206,86,83.33395199,-9.364294239,28.84968022
872,200,210,92,83.13130632,-13.04953953,27.90329636
873,187,213,100,82.94933687,-16.36875463,26.37314182
874,166,217,117,82.68149345,-21.33081807,22.70603496
875,146,220,136,82.49623465,-24.93414937,18.26851991
876,124,222,155,82.33673121,-28.08339636,12.9342147
877,108,223,171,82.25530923,-29.76341828,8.332563441
878,100,223,180,82.24294246,-30.18883105,5.449830228
879,93,223,189,82.23309945,-30.48546721,2.675533518
880,86,223,197,82.22941828,-30.60770811,0.086463918
881,76,223,207,82.22979157,-30.56340531,-3.469942459
882,70,223,218,82.26184417,-29.93979138,-7.193581703
883,67,222,227,82.30862842,-28.98223212,-10.53619739
884,70,220,237,82.38998577,-27.36954177,-14.06656724
885,81,218,249,82.53090438,-24.55371724,-18.2586516
