color_name,red,green,blue
mplabi,90,43,49
mple,51,75,159
mple_anoichto,81,138,199
mple_apalo,130,146,202
mple_bioleti,133,54,218
mple_entono,48,90,170
mple_fwteino,61,85,219
mple_galazio,121,143,233
mple_gkri,73,87,120
mple_hlektrik,52,57,194
mple_marin,42,32,120
mple_mauro,36,32,64
mple_mounto,70,116,126
mple_mov,84,52,160
mple_nautiko,18,61,111
mple_poua,18,49,83
mple_prasino,78,131,136
mple_prasino_skouro,4,47,53
mple_raf,47,83,123
mple_roua,38,47,152
mple_skouro,33,44,95
mple_tetradiou,72,59,174
mple_thalassi,104,120,174
mple_wkeanou,49,87,119
mplemov,107,75,176
mpornto,105,24,48
mpornto_anoichto,145,75,90
mpronto,105,26,39
nautiko_mple,37,60,110
ochra,208,176,91
oinopneumati,61,184,175
ourani,90,157,196
pagou,218,214,217
pal_roz,213,141,154
papagali,116,190,138
perle,159,158,196
pethamenatzi,130,42,110
petrol,53,123,127
petrol_anoichto,88,140,162
petrol_skouro,33,66,60
poly_anoichto_galazio,199,194,255
poly_anoichto_kitrino,235,230,196
poly_anoichto_prasino,161,209,119
poly_skouro_mov,69,22,71
pontiki,79,80,85
pontiki_gkri,110,110,110
porfyro,120,25,51
portokali,219,118,51
portokali_anoichto,235,162,108
portokali_keramidi,180,102,60
portokali_mounto,212,128,52
portokali_pal,227,96,69
portokali_skouro,216,107,46
portokalokafe,186,106,35
portokalokitrino,251,177,54
portokalokokkino,236,77,65
portokaloroz,237,104,114
prasino,71,150,83
prasino_anoichto,120,200,121
prasino_beraman,77,156,132
prasino_elias,64,88,7
prasino_entono,62,191,77
prasino_flouo,102,221,83
prasino_fwsforize,108,235,104
prasino_fwsforouxo,71,199,72
prasino_fwteino,88,204,97
prasino_galazio,36,186,153
prasino_gkri,109,128,114
prasino_grasidi,47,151,41
prasino_khaki,84,147,65
prasino_kyparissi,28,67,46
prasino_lachani,137,200,62
prasino_ladi,90,108,45
prasino_mounto,86,118,98
prasino_mple,58,122,121
prasino_pal,140,186,152
prasino_pastel,138,186,156
prasino_peukou,36,94,65
prasino_skouro,27,69,48
prasino_smaragdi,33,110,77
prasino_tirkouaz,79,208,175
prasino_xortariou,62,186,33
prasinogalazio,98,179,156
prasinogkri,116,148,123
prasinokafe,104,84,25
prasinokitrino,156,193,71
prasinoladi,94,118,28
prasinomple,38,119,112
prasinwpo,104,144,128
psyxro_leuko,214,233,233
psyxro_mov,128,79,128
raf,69,101,145
raf_anoichto,110,133,157
rodakini,226,133,103
rodakini_anoichto,221,161,133
rodi,195,68,92
rodokokkino,138,74,104
roumpini,136,26,72
roz,221,119,172
roz_anoichto,224,165,196
roz_apalo,224,160,166
roz_entono,242,96,195
roz_flouo,234,100,165
roz_fouxia,236,63,183
roz_fwteino,230,109,204
roz_kafe,140,78,94
roz_kleisto,196,127,164
roz_koufeti,233,157,209
roz_lila,209,130,184
roz_mounto,209,119,156
roz_mov,200,93,189
roz_pal,233,142,174
roz_pastel,228,152,180
roz_psyxro,201,148,196
roz_skouro,190,80,131
roz_somon,242,149,146
roz_spasmeno,192,132,133
roz_triantafylli,210,98,133
roze,232,138,138
rozmov,202,118,196
rozouli,234,114,138
sapio_mhlo,166,102,111
sapio_mhlo_skouro,136,77,96
sepia,171,123,57
siel,116,178,203
siel_anoichto,196,212,235
siel_entono,68,206,217
siel_skouro,44,160,187
skati,118,105,53
skatouli,140,84,14
skoteino_mov,88,42,92
skoura_ochra,136,94,25
skouro_fouxia,143,30,92
skouro_galazio,39,131,164
skouro_galazoprasino,24,80,91
skouro_keramidi,126,53,53
skouro_kitrino,209,182,59
skouro_lachani,91,145,53
skouro_roz,210,116,154
skouro_tirkouaz,52,129,121
smaragdi,40,140,80
sokolati,120,72,52
somon,218,145,127
somon_anoichto,230,199,154
somon_skouro,213,122,111
staxti,142,165,181
tampa,141,71,50
terakota,163,85,76
thalassi,81,173,199
thalassi_anoichto,181,205,226
thalassi_skouro,91,119,190
thampo_mov,134,54,107
tirkouaz,68,194,187
tirkouaz_entono,36,209,196
tou_pagou,193,194,201
triantafylli,201,86,151
xlwmo_kitrino,191,177,47
xlwmo_kokkino,158,37,58
xondrokokkino,142,81,58
xrwma_dermatos,221,161,132
xrysafi,192,159,32
ypokitrino,223,216,164
ypoleuko,227,217,219
zachari,223,218,212
